지번,lat,lng,비고
101,36.6202276,127.9003358,
102,36.6202169,127.9010042,
103,36.620216,127.9016738,
103-1,36.6197407,127.9014573,이상치(시연용)
105,36.6202259,127.9030259,
77,36.6202247,127.9036831,같은 번지가 다른 리에도 있음(시연용)
77,36.6202129,127.9043728,같은 번지가 다른 리에도 있음(시연용)
107-1,36.6202078,127.9050315,
109,36.6202084,127.9056937,
110,36.6202136,127.906377,
111,36.6202264,127.9070542,
111-1,36.6202023,127.9077207,
113,36.6202245,127.9083883,
114,36.6202112,127.9090671,
115,36.6202162,127.909732,
115-1,36.6206844,127.9003267,
117,36.6201942,127.9019105,이상치(시연용)
118,36.6206754,127.9016801,
119,36.6206756,127.9023367,
119-1,36.6206609,127.9030372,
121,36.6206759,127.9037031,
122,36.6206929,127.9043579,
123,36.6206641,127.9050451,
123-1,36.6206801,127.9057089,
125,36.620681,127.9063775,
126,36.6206809,127.9070505,
127,36.6206688,127.9077388,
127-1,36.6206707,127.9083966,
129,36.6206642,127.9090673,
130,36.6211298,127.9092291,이상치(시연용)
131,36.6211306,127.9003269,
131-1,36.6211206,127.900985,
133,36.6211361,127.9016778,
134,36.6211218,127.9023581,
135,36.6211225,127.9030178,
135-1,36.6211209,127.9037105,
137,36.621128,127.9043616,
138,36.621123,127.9050352,
139,36.6211247,127.9056956,
139-1,36.6211353,127.9063747,
141,36.6211246,127.9070585,
142,36.6211217,127.9077302,
143,36.6207511,127.9088679,이상치(시연용)
143-1,36.6211065,127.9090469,
145,36.6211167,127.909734,
146,36.6215949,127.9003376,
147,36.6215691,127.900998,
147-1,36.6215791,127.9016812,
149,36.6215728,127.9023484,
150,36.6215794,127.9030298,
151,36.621574,127.9036819,
151-1,36.6215652,127.9043654,
153,36.621567,127.9050395,
154,36.6215764,127.905719,
155,36.6215694,127.9063807,
155-1,36.6210334,127.9064755,이상치(시연용)
157,36.621559,127.9077322,
158,36.6215671,127.9084028,
159,36.6215759,127.9090746,
159-1,36.6215859,127.9097202,
161,36.622024,127.9003519,
162,36.6220232,127.9010042,
163,36.6220345,127.9016679,
163-1,36.6220241,127.9023443,
165,36.622019,127.9030131,
166,36.6220359,127.9036792,
167,36.6220333,127.9043633,
167-1,36.6220184,127.9050367,
169,36.6225292,127.9065045,이상치(시연용)
170,36.6220122,127.9063763,
171,36.6220395,127.9070422,
171-1,36.6220151,127.9077152,
173,36.6220373,127.9083981,
174,36.6220227,127.9090496,
175,36.6220088,127.9097303,
175-1,36.6224743,127.900344,
177,36.6224677,127.9010081,
178,36.6224697,127.9016839,
179,36.6224645,127.9023488,
179-1,36.6224865,127.9030083,
181,36.6224771,127.9036878,
182,36.622097,127.9034045,이상치(시연용)
183,36.6224747,127.9050349,
183-1,36.6224806,127.9057213,
185,36.6224694,127.9063839,
186,36.6224831,127.9070357,
187,36.6224732,127.9077336,
187-1,36.6224815,127.9084004,
189,36.6224828,127.9090751,
190,36.6224881,127.9097323,
191,36.6229322,127.9003218,
191-1,36.6229323,127.9010128,
193,36.6229378,127.9016999,
194,36.6229092,127.9023376,
195,36.6234164,127.9022327,이상치(시연용)
195-1,36.6229268,127.9036699,
197,36.6229222,127.9043655,
198,36.6229167,127.905037,
199,36.6229229,127.9056912,
199-1,36.6229096,127.9063688,
201,36.6229239,127.9070569,
202,36.6229155,127.9077273,
203,36.6229154,127.9083869,
203-1,36.6229262,127.9090559,
205,36.6229276,127.9097286,
206,36.6233926,127.9003396,
207,36.6233823,127.9009917,
207-1,36.6237796,127.902381,이상치(시연용)
209,36.6233751,127.9023495,
210,36.6233847,127.9030187,
211,36.6233545,127.9036932,
211-1,36.6233566,127.9043573,
213,36.6233696,127.9050002,
214,36.6233748,127.905723,
215,36.6233659,127.9063665,
215-1,36.6233758,127.9070639,
217,36.6233739,127.9077233,
218,36.6233816,127.9083947,
219,36.6233763,127.909072,
219-1,36.6233789,127.9097257,
221,36.6243629,127.8996371,이상치(시연용)
222,36.6238397,127.9009925,
223,36.6238201,127.9016952,
223-1,36.6238277,127.902359,
225,36.6238265,127.9029927,
226,36.623825,127.9036928,
227,36.6238218,127.904353,
227-1,36.6238349,127.9050346,
229,36.6238242,127.9057119,
